County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"United States",00000,N/A,75149.000000000,"N/A"
"Loudoun County, Virginia",51107,Urban,170463.000000000,"1 of 3142"
"Falls Church City, Virginia",51610,Urban,164536.000000000,"2 of 3142"
"Santa Clara County, California",06085,Urban,153792.000000000,"3 of 3142"
"San Mateo County, California",06081,Urban,149907.000000000,"4 of 3142"
"Fairfax County, Virginia",51059,Urban,145165.000000000,"5 of 3142"
"Marin County, California",06041,Urban,142019.000000000,"6 of 3142"
"Howard County, Maryland",24027,Urban,140971.000000000,"7 of 3142"
"Douglas County, Colorado",08035,Urban,139010.000000000,"8 of 3142"
"Nassau County, New York",36059,Urban,137709.000000000,"9 of 3142"
"Arlington County, Virginia",51013,Urban,137387.000000000,"10 of 3142"
"San Francisco County, California",06075,Urban,136689.000000000,"11 of 3142"
"Los Alamos County, New Mexico",35028,Rural,135801.000000000,"12 of 3142"
"Nantucket County, Massachusetts",25019,Rural,135590.000000000,"13 of 3142"
"Hunterdon County, New Jersey",34019,Urban,133534.000000000,"14 of 3142"
"Somerset County, New Jersey",34035,Urban,131948.000000000,"15 of 3142"
"Forsyth County, Georgia",13117,Urban,131660.000000000,"16 of 3142"
"Morris County, New Jersey",34027,Urban,130808.000000000,"17 of 3142"
"Fairfax City, Virginia",51600,Urban,128708.000000000,"18 of 3142"
"Calvert County, Maryland",24009,Urban,128078.000000000,"19 of 3142"
"Stafford County, Virginia",51179,Urban,128036.000000000,"20 of 3142"
"Summit County, Utah",49043,Rural,126392.000000000,"21 of 3142"
"Williamson County, Tennessee",47187,Urban,125943.000000000,"22 of 3142"
"Montgomery County, Maryland",24031,Urban,125583.000000000,"23 of 3142"
"Elbert County, Colorado",08039,Urban,124360.000000000,"24 of 3142"
"Delaware County, Ohio",39041,Urban,123995.000000000,"25 of 3142"
"Prince William County, Virginia",51153,Urban,123193.000000000,"26 of 3142"
"Fauquier County, Virginia",51061,Urban,122785.000000000,"27 of 3142"
"Suffolk County, New York",36103,Urban,122498.000000000,"28 of 3142"
"Alameda County, California",06001,Urban,122488.000000000,"29 of 3142"
"Middlesex County, Massachusetts",25017,Urban,121304.000000000,"30 of 3142"
"Rockwall County, Texas",48397,Urban,121303.000000000,"31 of 3142"
"Putnam County, New York",36079,Urban,120970.000000000,"32 of 3142"
"Morgan County, Utah",49029,Urban,120854.000000000,"33 of 3142"
"Norfolk County, Massachusetts",25021,Urban,120621.000000000,"34 of 3142"
"Contra Costa County, California",06013,Urban,120020.000000000,"35 of 3142"
"Bergen County, New Jersey",34003,Urban,118714.000000000,"36 of 3142"
"Chester County, Pennsylvania",42029,Urban,118574.000000000,"37 of 3142"
"Monmouth County, New Jersey",34025,Urban,118527.000000000,"38 of 3142"
"Scott County, Minnesota",27139,Urban,118268.000000000,"39 of 3142"
"Broomfield County, Colorado",08014,Urban,117541.000000000,"40 of 3142"
"Oldham County, Kentucky",21185,Urban,117334.000000000,"41 of 3142"
"Charles County, Maryland",24017,Urban,116882.000000000,"42 of 3142"
"King County, Washington",53033,Urban,116340.000000000,"43 of 3142"
"Carver County, Minnesota",27019,Urban,116308.000000000,"44 of 3142"
"Oconee County, Georgia",13219,Urban,116221.000000000,"45 of 3142"
"Anne Arundel County, Maryland",24003,Urban,116009.000000000,"46 of 3142"
"Frederick County, Maryland",24021,Urban,115724.000000000,"47 of 3142"
"Hamilton County, Indiana",18057,Urban,114866.000000000,"48 of 3142"
"Westchester County, New York",36119,Urban,114651.000000000,"49 of 3142"
"Poquoson City, Virginia",51735,Urban,114503.000000000,"50 of 3142"
"St. Marys County, Maryland",24037,Urban,113668.000000000,"51 of 3142"
"Collin County, Texas",48085,Urban,113255.000000000,"52 of 3142"
"Alexandria City, Virginia",51510,Urban,113179.000000000,"53 of 3142"
"New Kent County, Virginia",51127,Urban,113120.000000000,"54 of 3142"
"Glasscock County, Texas",48173,Rural,112188.000000000,"55 of 3142"
"Carroll County, Maryland",24013,Urban,111672.000000000,"56 of 3142"
"Sussex County, New Jersey",34037,Urban,111094.000000000,"57 of 3142"
"Washington County, Minnesota",27163,Urban,110828.000000000,"58 of 3142"
"Manassas City, Virginia",51683,Urban,110559.000000000,"59 of 3142"
"Rockingham County, New Hampshire",33015,Urban,110225.000000000,"60 of 3142"
"Fort Bend County, Texas",48157,Urban,109987.000000000,"61 of 3142"
"Fairfield County, Connecticut",09001,Urban,109390.000000000,"62 of 3142"
"Placer County, California",06061,Urban,109375.000000000,"63 of 3142"
"Orange County, California",06059,Urban,109361.000000000,"64 of 3142"
"Queen Annes County, Maryland",24035,Urban,108332.000000000,"65 of 3142"
"Teton County, Wyoming",56039,Rural,108279.000000000,"66 of 3142"
"Powhatan County, Virginia",51145,Urban,108089.000000000,"67 of 3142"
"Bucks County, Pennsylvania",42017,Urban,107826.000000000,"68 of 3142"
"Clarke County, Virginia",51043,Urban,107475.000000000,"69 of 3142"
"Montgomery County, Pennsylvania",42091,Urban,107441.000000000,"70 of 3142"
"DuPage County, Illinois",17043,Urban,107035.000000000,"71 of 3142"
"Harford County, Maryland",24025,Urban,106417.000000000,"72 of 3142"
"Kendall County, Illinois",17093,Urban,106358.000000000,"73 of 3142"
"Rockland County, New York",36087,Urban,106173.000000000,"74 of 3142"
"Chambers County, Texas",48071,Urban,106103.000000000,"75 of 3142"
"Fayette County, Georgia",13113,Urban,105910.000000000,"76 of 3142"
"Bristol County, Rhode Island",44001,Urban,105875.000000000,"77 of 3142"
"Napa County, California",06055,Urban,105809.000000000,"78 of 3142"
"Goochland County, Virginia",51075,Urban,105600.000000000,"79 of 3142"
"Plymouth County, Massachusetts",25023,Urban,105387.000000000,"80 of 3142"
"Middlesex County, New Jersey",34023,Urban,105206.000000000,"81 of 3142"
"York County, Virginia",51199,Urban,105154.000000000,"82 of 3142"
"Spotsylvania County, Virginia",51177,Urban,105068.000000000,"83 of 3142"
"Wasatch County, Utah",49051,Rural,104855.000000000,"84 of 3142"
"Hanover County, Virginia",51085,Urban,104678.000000000,"85 of 3142"
"Lake County, Illinois",17097,Urban,104553.000000000,"86 of 3142"
"Union County, Ohio",39159,Urban,104496.000000000,"87 of 3142"
"San Benito County, California",06069,Urban,104451.000000000,"88 of 3142"
"Santa Cruz County, California",06087,Urban,104409.000000000,"89 of 3142"
"Kendall County, Texas",48259,Urban,104196.000000000,"90 of 3142"
"Denton County, Texas",48121,Urban,104180.000000000,"91 of 3142"
"Snohomish County, Washington",53061,Urban,104083.000000000,"92 of 3142"
"Will County, Illinois",17197,Urban,103678.000000000,"93 of 3142"
"Johnson County, Kansas",20091,Urban,103644.000000000,"94 of 3142"
"King George County, Virginia",51099,Rural,103264.000000000,"95 of 3142"
"Jefferson County, Colorado",08059,Urban,103167.000000000,"96 of 3142"
"Warren County, Ohio",39165,Urban,103128.000000000,"97 of 3142"
"Boone County, Indiana",18011,Urban,103038.000000000,"98 of 3142"
"Wright County, Minnesota",27171,Urban,102980.000000000,"99 of 3142"
"Williamson County, Texas",48491,Urban,102851.000000000,"100 of 3142"
"Burlington County, New Jersey",34005,Urban,102615.000000000,"101 of 3142"
"Ventura County, California",06111,Urban,102141.000000000,"102 of 3142"
"District of Columbia",11001,Urban,101722.000000000,"103 of 3142"
"Waukesha County, Wisconsin",55133,Urban,101639.000000000,"104 of 3142"
"Dakota County, Minnesota",27037,Urban,101360.000000000,"105 of 3142"
"Davis County, Utah",49011,Urban,101285.000000000,"106 of 3142"
"Alpine County, California",06003,Rural,101125.000000000,"107 of 3142"
"Spencer County, Kentucky",21215,Urban,101118.000000000,"108 of 3142"
"Cherokee County, Georgia",13057,Urban,100824.000000000,"109 of 3142"
"James City County, Virginia",51095,Urban,100711.000000000,"110 of 3142"
"Monroe County, Illinois",17133,Urban,100685.000000000,"111 of 3142"
"Aleutians West Census Area, Alaska",02016,Rural,100662.000000000,"112 of 3142"
"Summit County, Colorado",08117,Rural,100611.000000000,"113 of 3142"
"Washington County, Oregon",41067,Urban,100121.000000000,"114 of 3142"
"McHenry County, Illinois",17111,Urban,100101.000000000,"115 of 3142"
"St. Johns County, Florida",12109,Urban,100020.000000000,"116 of 3142"
"New York County, New York",36061,Urban,99880.000000000,"117 of 3142"
"Honolulu County, Hawaii",15003,Urban,99816.000000000,"118 of 3142"
"Boulder County, Colorado",08013,Urban,99770.000000000,"119 of 3142"
"Gloucester County, New Jersey",34015,Urban,99668.000000000,"120 of 3142"
"St. Charles County, Missouri",29183,Urban,99596.000000000,"121 of 3142"
"Dallas County, Iowa",19049,Urban,99533.000000000,"122 of 3142"
"Washington County, Rhode Island",44009,Urban,99510.000000000,"123 of 3142"
"Sherburne County, Minnesota",27141,Urban,99431.000000000,"124 of 3142"
"Sonoma County, California",06097,Urban,99266.000000000,"125 of 3142"
"Tolland County, Connecticut",09013,Urban,99264.000000000,"126 of 3142"
"El Dorado County, California",06017,Urban,99246.000000000,"127 of 3142"
"Eagle County, Colorado",08037,Rural,98887.000000000,"128 of 3142"
"Rappahannock County, Virginia",51157,Urban,98663.000000000,"129 of 3142"
"St. Croix County, Wisconsin",55109,Urban,97950.000000000,"130 of 3142"
"Prince Georges County, Maryland",24033,Urban,97935.000000000,"131 of 3142"
"Albemarle County, Virginia",51003,Urban,97708.000000000,"132 of 3142"
"Chisago County, Minnesota",27025,Urban,97446.000000000,"133 of 3142"
"Geauga County, Ohio",39055,Urban,97162.000000000,"134 of 3142"
"Saratoga County, New York",36091,Urban,97038.000000000,"135 of 3142"
"Solano County, California",06095,Urban,97037.000000000,"136 of 3142"
"San Diego County, California",06073,Urban,96974.000000000,"137 of 3142"
"Wake County, North Carolina",37183,Urban,96734.000000000,"138 of 3142"
"Kane County, Illinois",17089,Urban,96400.000000000,"139 of 3142"
"Newport County, Rhode Island",44005,Urban,96319.000000000,"140 of 3142"
"Richmond County, New York",36085,Urban,96185.000000000,"141 of 3142"
"Livingston County, Michigan",26093,Urban,96135.000000000,"142 of 3142"
"Pitkin County, Colorado",08097,Rural,96123.000000000,"143 of 3142"
"Middlesex County, Connecticut",09007,Urban,96084.000000000,"144 of 3142"
"Montgomery County, Texas",48339,Urban,95946.000000000,"145 of 3142"
"Divide County, North Dakota",38023,Rural,95938.000000000,"146 of 3142"
"Sarpy County, Nebraska",31153,Urban,95911.000000000,"147 of 3142"
"Gilpin County, Colorado",08047,Urban,95902.000000000,"148 of 3142"
"Anoka County, Minnesota",27003,Urban,95782.000000000,"149 of 3142"
"Chesterfield County, Virginia",51041,Urban,95757.000000000,"150 of 3142"
"Clackamas County, Oregon",41005,Urban,95740.000000000,"151 of 3142"
"Anchorage Borough, Alaska",02020,Urban,95731.000000000,"152 of 3142"
"Parker County, Texas",48367,Urban,95721.000000000,"153 of 3142"
"Juneau Borough, Alaska",02110,Rural,95711.000000000,"154 of 3142"
"Tooele County, Utah",49045,Urban,95545.000000000,"155 of 3142"
"Union County, North Carolina",37179,Urban,95533.000000000,"156 of 3142"
"Maui County, Hawaii",15009,Urban,95379.000000000,"157 of 3142"
"Hendricks County, Indiana",18063,Urban,95261.000000000,"158 of 3142"
"Sitka Borough, Alaska",02220,Rural,95261.000000000,"158 of 3142"
"Routt County, Colorado",08107,Rural,95144.000000000,"160 of 3142"
"Hillsborough County, New Hampshire",33011,Urban,95112.000000000,"161 of 3142"
"Union County, New Jersey",34039,Urban,95000.000000000,"162 of 3142"
"Burke County, North Dakota",38013,Rural,94583.000000000,"163 of 3142"
"Dutchess County, New York",36027,Urban,94578.000000000,"164 of 3142"
"Essex County, Massachusetts",25009,Urban,94378.000000000,"165 of 3142"
"Cobb County, Georgia",13067,Urban,94244.000000000,"166 of 3142"
"Bristol Bay Borough, Alaska",02060,Rural,94167.000000000,"167 of 3142"
"Ascension Parish, Louisiana",22005,Urban,93800.000000000,"168 of 3142"
"Comal County, Texas",48091,Urban,93744.000000000,"169 of 3142"
"Jefferson County, West Virginia",54037,Urban,93744.000000000,"169 of 3142"
"Kitsap County, Washington",53035,Urban,93675.000000000,"171 of 3142"
"Lexington City, Virginia",51678,Rural,93651.000000000,"172 of 3142"
"Campbell County, Wyoming",56005,Rural,93315.000000000,"173 of 3142"
"Ellis County, Texas",48139,Urban,93248.000000000,"174 of 3142"
"Dukes County, Massachusetts",25007,Rural,93225.000000000,"175 of 3142"
"Dodge County, Minnesota",27039,Urban,92890.000000000,"176 of 3142"
"Travis County, Texas",48453,Urban,92731.000000000,"177 of 3142"
"Chesapeake City, Virginia",51550,Urban,92703.000000000,"178 of 3142"
"Mercer County, New Jersey",34021,Urban,92697.000000000,"179 of 3142"
"Oakland County, Michigan",26125,Urban,92620.000000000,"180 of 3142"
"Warren County, New Jersey",34041,Urban,92620.000000000,"180 of 3142"
"Hennepin County, Minnesota",27053,Urban,92595.000000000,"182 of 3142"
"Columbia County, Georgia",13073,Urban,92571.000000000,"183 of 3142"
"Platte County, Missouri",29165,Urban,92543.000000000,"184 of 3142"
"Frederick County, Virginia",51069,Urban,92443.000000000,"185 of 3142"
"Lander County, Nevada",32015,Rural,92388.000000000,"186 of 3142"
"Culpeper County, Virginia",51047,Urban,92359.000000000,"187 of 3142"
"Santa Barbara County, California",06083,Urban,92332.000000000,"188 of 3142"
"Lincoln County, South Dakota",46083,Urban,92317.000000000,"189 of 3142"
"Arapahoe County, Colorado",08005,Urban,92292.000000000,"190 of 3142"
"Ozaukee County, Wisconsin",55089,Urban,92258.000000000,"191 of 3142"
"Brazoria County, Texas",48039,Urban,91972.000000000,"192 of 3142"
"Washington County, Wisconsin",55131,Urban,91915.000000000,"193 of 3142"
"Orange County, New York",36071,Urban,91806.000000000,"194 of 3142"
"Dunn County, North Dakota",38025,Rural,91758.000000000,"195 of 3142"
"Boone County, Kentucky",21015,Urban,91697.000000000,"196 of 3142"
"Isle of Wight County, Virginia",51093,Urban,91680.000000000,"197 of 3142"
"Manassas Park City, Virginia",51685,Urban,91673.000000000,"198 of 3142"
"Pierce County, Washington",53053,Urban,91486.000000000,"199 of 3142"
"Utah County, Utah",49049,Urban,91263.000000000,"200 of 3142"
"Kodiak Island Borough, Alaska",02150,Rural,91138.000000000,"201 of 3142"
"Warrick County, Indiana",18173,Urban,91105.000000000,"202 of 3142"
"Monterey County, California",06053,Urban,91043.000000000,"203 of 3142"
"Fluvanna County, Virginia",51065,Urban,90766.000000000,"204 of 3142"
"Litchfield County, Connecticut",09005,Rural,90660.000000000,"205 of 3142"
"Bryan County, Georgia",13029,Urban,90627.000000000,"206 of 3142"
"Shelby County, Alabama",01117,Urban,90618.000000000,"207 of 3142"
"Barnstable County, Massachusetts",25001,Urban,90447.000000000,"208 of 3142"
"Olmsted County, Minnesota",27109,Urban,90420.000000000,"209 of 3142"
"San Luis Obispo County, California",06079,Urban,90158.000000000,"210 of 3142"
"Midland County, Texas",48329,Urban,90123.000000000,"211 of 3142"
"Clark County, Washington",53011,Urban,90115.000000000,"212 of 3142"
"Coweta County, Georgia",13077,Urban,90031.000000000,"213 of 3142"
"Salt Lake County, Utah",49035,Urban,90011.000000000,"214 of 3142"
"Grundy County, Illinois",17063,Urban,89993.000000000,"215 of 3142"
"Medina County, Ohio",39103,Urban,89968.000000000,"216 of 3142"
"Warren County, Iowa",19181,Urban,89741.000000000,"217 of 3142"
"Wilson County, Texas",48493,Urban,89708.000000000,"218 of 3142"
"Washington County, Nebraska",31177,Urban,89671.000000000,"219 of 3142"
"Chittenden County, Vermont",50007,Urban,89494.000000000,"220 of 3142"
"Wilson County, Tennessee",47189,Urban,89462.000000000,"221 of 3142"
"Paulding County, Georgia",13223,Urban,89237.000000000,"222 of 3142"
"Weld County, Colorado",08123,Urban,89182.000000000,"223 of 3142"
"Winkler County, Texas",48495,Rural,89155.000000000,"224 of 3142"
"Teton County, Idaho",16081,Rural,88906.000000000,"225 of 3142"
"Thurston County, Washington",53067,Urban,88895.000000000,"226 of 3142"
"Kauai County, Hawaii",15007,Rural,88869.000000000,"227 of 3142"
"Merrimack County, New Hampshire",33013,Rural,88806.000000000,"228 of 3142"
"Worcester County, Massachusetts",25027,Urban,88524.000000000,"229 of 3142"
"Baltimore County, Maryland",24005,Urban,88157.000000000,"230 of 3142"
"Guadalupe County, Texas",48187,Urban,88111.000000000,"231 of 3142"
"Madison County, Iowa",19121,Urban,88110.000000000,"232 of 3142"
"Calhoun County, Illinois",17013,Urban,88059.000000000,"233 of 3142"
"Juab County, Utah",49023,Urban,88048.000000000,"234 of 3142"
"Somervell County, Texas",48425,Rural,87899.000000000,"235 of 3142"
"Kalawao County, Hawaii",15005,Urban,87813.000000000,"236 of 3142"
"Suffolk City, Virginia",51800,Urban,87758.000000000,"237 of 3142"
"Elko County, Nevada",32007,Rural,87755.000000000,"238 of 3142"
"Cumberland County, Maine",23005,Urban,87710.000000000,"239 of 3142"
"Cass County, Nebraska",31025,Urban,87673.000000000,"240 of 3142"
"Suffolk County, Massachusetts",25025,Urban,87669.000000000,"241 of 3142"
"Virginia Beach City, Virginia",51810,Urban,87544.000000000,"242 of 3142"
"Orange County, Virginia",51137,Rural,87309.000000000,"243 of 3142"
"Denali, Alaska",02068,Rural,87292.000000000,"244 of 3142"
"Larimer County, Colorado",08069,Urban,87199.000000000,"245 of 3142"
"Le Sueur County, Minnesota",27079,Urban,87180.000000000,"246 of 3142"
"Clear Creek County, Colorado",08019,Urban,87169.000000000,"247 of 3142"
"Storey County, Nevada",32029,Urban,86932.000000000,"248 of 3142"
"Cecil County, Maryland",24015,Urban,86869.000000000,"249 of 3142"
"Hudson County, New Jersey",34017,Urban,86854.000000000,"250 of 3142"
"Hanson County, South Dakota",46061,Rural,86827.000000000,"251 of 3142"
"Grand Isle County, Vermont",50013,Urban,86639.000000000,"252 of 3142"
"Hartford County, Connecticut",09003,Urban,86612.000000000,"253 of 3142"
"Andrews County, Texas",48003,Rural,86458.000000000,"254 of 3142"
"Matanuska-Susitna Borough, Alaska",02170,Urban,86435.000000000,"255 of 3142"
"Delaware County, Pennsylvania",42045,Urban,86390.000000000,"256 of 3142"
"Adams County, Colorado",08001,Urban,86297.000000000,"257 of 3142"
"Fulton County, Georgia",13121,Urban,86267.000000000,"258 of 3142"
"Williams County, North Dakota",38105,Rural,86139.000000000,"259 of 3142"
"Sublette County, Wyoming",56035,Rural,85960.000000000,"260 of 3142"
"Harris County, Georgia",13145,Urban,85936.000000000,"261 of 3142"
"Addison County, Vermont",50001,Rural,85870.000000000,"262 of 3142"
"Denver County, Colorado",08031,Urban,85853.000000000,"263 of 3142"
"Orange County, North Carolina",37135,Urban,85785.000000000,"264 of 3142"
"New London County, Connecticut",09011,Urban,85760.000000000,"265 of 3142"
"Steele County, North Dakota",38091,Rural,85750.000000000,"266 of 3142"
"Kent County, Rhode Island",44003,Urban,85732.000000000,"267 of 3142"
"Miami County, Kansas",20121,Urban,85564.000000000,"268 of 3142"
"Wise County, Texas",48497,Urban,85385.000000000,"269 of 3142"
"New Castle County, Delaware",10003,Urban,85309.000000000,"270 of 3142"
"Benton County, Arkansas",05007,Urban,85269.000000000,"271 of 3142"
"Hancock County, Indiana",18059,Urban,85262.000000000,"272 of 3142"
"Pottawatomie County, Kansas",20149,Urban,85241.000000000,"273 of 3142"
"Yolo County, California",06113,Urban,85097.000000000,"274 of 3142"
"Park County, Colorado",08093,Urban,85019.000000000,"275 of 3142"
"Menard County, Illinois",17129,Urban,84846.000000000,"276 of 3142"
"Grant County, Kansas",20067,Rural,84808.000000000,"277 of 3142"
"Golden Valley County, North Dakota",38033,Rural,84750.000000000,"278 of 3142"
"Bremer County, Iowa",19017,Urban,84727.000000000,"279 of 3142"
"Santa Rosa County, Florida",12113,Urban,84715.000000000,"280 of 3142"
"Dawson County, Georgia",13085,Urban,84516.000000000,"281 of 3142"
"Riverside County, California",06065,Urban,84505.000000000,"282 of 3142"
"Skamania County, Washington",53059,Urban,84500.000000000,"283 of 3142"
"Saunders County, Nebraska",31155,Urban,84474.000000000,"284 of 3142"
"Passaic County, New Jersey",34031,Urban,84465.000000000,"285 of 3142"
"Leavenworth County, Kansas",20103,Urban,84307.000000000,"286 of 3142"
"Dane County, Wisconsin",55025,Urban,84297.000000000,"287 of 3142"
"Douglas County, Nevada",32005,Rural,84262.000000000,"288 of 3142"
"Washtenaw County, Michigan",26161,Urban,84245.000000000,"289 of 3142"
"Chatham County, North Carolina",37037,Urban,84222.000000000,"290 of 3142"
"Calumet County, Wisconsin",55015,Urban,84151.000000000,"291 of 3142"
"Nassau County, Florida",12089,Urban,84085.000000000,"292 of 3142"
"Kaufman County, Texas",48257,Urban,84075.000000000,"293 of 3142"
"Isanti County, Minnesota",27059,Urban,84063.000000000,"294 of 3142"
"Hampshire County, Massachusetts",25015,Urban,84025.000000000,"295 of 3142"
"Sacramento County, California",06067,Urban,84010.000000000,"296 of 3142"
"Ottawa County, Michigan",26139,Urban,83932.000000000,"297 of 3142"
"Galveston County, Texas",48167,Urban,83913.000000000,"298 of 3142"
"Ada County, Idaho",16001,Urban,83881.000000000,"299 of 3142"
"Cape May County, New Jersey",34009,Urban,83870.000000000,"300 of 3142"
"Pike County, Georgia",13231,Urban,83866.000000000,"301 of 3142"
"Cabarrus County, North Carolina",37025,Urban,83828.000000000,"302 of 3142"
"McKenzie County, North Dakota",38053,Rural,83813.000000000,"303 of 3142"
"Benton County, Washington",53005,Urban,83778.000000000,"304 of 3142"
"Gloucester County, Virginia",51073,Urban,83750.000000000,"305 of 3142"
"Hughes County, South Dakota",46065,Rural,83750.000000000,"305 of 3142"
"Rensselaer County, New York",36083,Urban,83734.000000000,"307 of 3142"
"Multnomah County, Oregon",41051,Urban,83668.000000000,"308 of 3142"
"Lee County, Georgia",13177,Urban,83632.000000000,"309 of 3142"
"Caroline County, Virginia",51033,Rural,83562.000000000,"310 of 3142"
"North Slope Borough, Alaska",02185,Rural,83472.000000000,"311 of 3142"
"Fredericksburg City, Virginia",51630,Urban,83445.000000000,"312 of 3142"
"Gallatin County, Montana",30031,Urban,83434.000000000,"313 of 3142"
"Los Angeles County, California",06037,Urban,83411.000000000,"314 of 3142"
"Columbia County, Oregon",41009,Urban,83265.000000000,"315 of 3142"
"Strafford County, New Hampshire",33017,Urban,83212.000000000,"316 of 3142"
"Carson County, Texas",48065,Urban,83199.000000000,"317 of 3142"
"Lincoln County, Wyoming",56023,Rural,83033.000000000,"318 of 3142"
"Pierce County, Wisconsin",55093,Urban,82996.000000000,"319 of 3142"
"Fairfield County, Ohio",39045,Urban,82969.000000000,"320 of 3142"
"Butler County, Pennsylvania",42019,Urban,82932.000000000,"321 of 3142"
"Porter County, Indiana",18127,Urban,82915.000000000,"322 of 3142"
"Island County, Washington",53029,Rural,82850.000000000,"323 of 3142"
"Cumberland County, Pennsylvania",42041,Urban,82849.000000000,"324 of 3142"
"San Joaquin County, California",06077,Urban,82837.000000000,"325 of 3142"
"Currituck County, North Carolina",37053,Urban,82793.000000000,"326 of 3142"
"Garfield County, Colorado",08045,Rural,82772.000000000,"327 of 3142"
"Ketchikan Gateway Borough, Alaska",02130,Rural,82763.000000000,"328 of 3142"
"El Paso County, Colorado",08041,Urban,82748.000000000,"329 of 3142"
"Johnson County, Indiana",18081,Urban,82730.000000000,"330 of 3142"
"Clinton County, Michigan",26037,Urban,82594.000000000,"331 of 3142"
"Lincoln County, Missouri",29113,Urban,82543.000000000,"332 of 3142"
"Cass County, Missouri",29037,Urban,82473.000000000,"333 of 3142"
"Queens County, New York",36081,Urban,82431.000000000,"334 of 3142"
"Henrico County, Virginia",51087,Urban,82424.000000000,"335 of 3142"
"Ocean County, New Jersey",34029,Urban,82379.000000000,"336 of 3142"
"Canadian County, Oklahoma",40017,Urban,82364.000000000,"337 of 3142"
"Leelanau County, Michigan",26089,Urban,82345.000000000,"338 of 3142"
"Stanley County, South Dakota",46117,Rural,82298.000000000,"339 of 3142"
"Gwinnett County, Georgia",13135,Urban,82296.000000000,"340 of 3142"
"Weber County, Utah",49057,Urban,82291.000000000,"341 of 3142"
"Clay County, Missouri",29047,Urban,82264.000000000,"342 of 3142"
"Clay County, Florida",12019,Urban,82242.000000000,"343 of 3142"
"Northampton County, Pennsylvania",42095,Urban,82201.000000000,"344 of 3142"
"Mercer County, North Dakota",38057,Rural,82155.000000000,"345 of 3142"
"Burleigh County, North Dakota",38015,Urban,82141.000000000,"346 of 3142"
"Jackson County, Georgia",13157,Rural,82056.000000000,"347 of 3142"
"Deschutes County, Oregon",41017,Urban,82042.000000000,"348 of 3142"
"Mono County, California",06051,Rural,82038.000000000,"349 of 3142"
"Union County, South Dakota",46127,Urban,82036.000000000,"350 of 3142"
"Skagit County, Washington",53057,Urban,82029.000000000,"351 of 3142"
"Collier County, Florida",12021,Urban,82011.000000000,"352 of 3142"
"Camden County, New Jersey",34007,Urban,82005.000000000,"353 of 3142"
"La Plata County, Colorado",08067,Rural,81936.000000000,"354 of 3142"
"Sioux County, Iowa",19167,Rural,81914.000000000,"355 of 3142"
"Mills County, Iowa",19129,Urban,81907.000000000,"356 of 3142"
"Mountrail County, North Dakota",38061,Rural,81886.000000000,"357 of 3142"
"Sumner County, Tennessee",47165,Urban,81883.000000000,"358 of 3142"
"Blaine County, Idaho",16013,Rural,81794.000000000,"359 of 3142"
"Columbia County, New York",36021,Rural,81741.000000000,"360 of 3142"
"Talbot County, Maryland",24041,Rural,81667.000000000,"361 of 3142"
"LaGrange County, Indiana",18087,Rural,81658.000000000,"362 of 3142"
"Fairbanks North Star, Alaska",02090,Urban,81655.000000000,"363 of 3142"
"Washoe County, Nevada",32031,Urban,81531.000000000,"364 of 3142"
"Morgan County, Georgia",13211,Urban,81524.000000000,"365 of 3142"
"Lancaster County, Pennsylvania",42071,Urban,81458.000000000,"366 of 3142"
"Greene County, Virginia",51079,Urban,81338.000000000,"367 of 3142"
"Beaufort County, South Carolina",45013,Urban,81260.000000000,"368 of 3142"
"Greene County, Ohio",39057,Urban,81243.000000000,"369 of 3142"
"Traill County, North Dakota",38097,Rural,81157.000000000,"370 of 3142"
"New Haven County, Connecticut",09009,Urban,81156.000000000,"371 of 3142"
"Piatt County, Illinois",17147,Urban,81151.000000000,"372 of 3142"
"Fayette County, Tennessee",47047,Urban,81074.000000000,"373 of 3142"
"Valdez-Cordova Census Area, Alaska",02261,Rural,81053.000000000,"374 of 3142"
"Shelby County, Kentucky",21211,Urban,81012.000000000,"375 of 3142"
"Roanoke County, Virginia",51161,Urban,80872.000000000,"376 of 3142"
"Scott County, Kentucky",21209,Urban,80782.000000000,"377 of 3142"
"Belknap County, New Hampshire",33001,Rural,80719.000000000,"378 of 3142"
"Grundy County, Iowa",19075,Urban,80701.000000000,"379 of 3142"
"Maricopa County, Arizona",04013,Urban,80675.000000000,"380 of 3142"
"Monroe County, Pennsylvania",42089,Rural,80656.000000000,"381 of 3142"
"Bristol County, Massachusetts",25005,Urban,80628.000000000,"382 of 3142"
"Borden County, Texas",48033,Rural,80625.000000000,"383 of 3142"
"Logan County, Oklahoma",40083,Urban,80565.000000000,"384 of 3142"
"McLean County, North Dakota",38055,Rural,80556.000000000,"385 of 3142"
"West Baton Rouge Parish, Louisiana",22121,Urban,80510.000000000,"386 of 3142"
"Boone County, Illinois",17007,Urban,80502.000000000,"387 of 3142"
"Dearborn County, Indiana",18029,Urban,80352.000000000,"388 of 3142"
"Prince George County, Virginia",51149,Urban,80318.000000000,"389 of 3142"
"Yoakum County, Texas",48501,Rural,80317.000000000,"390 of 3142"
"Beaver County, Utah",49001,Rural,80268.000000000,"391 of 3142"
"Hood River County, Oregon",41027,Rural,80254.000000000,"392 of 3142"
"York County, South Carolina",45091,Urban,80158.000000000,"393 of 3142"
"Bastrop County, Texas",48021,Urban,80151.000000000,"394 of 3142"
